miRNA	precursor
miR-18b-3p	mir-18b
miR-20b-5p	mir-20b
miR-20b-3p	mir-20b
miR-450a-5p	mir-450a-2,mir-450a-1
miR-450a-1-3p	mir-450a-1
miR-431-5p	mir-431
miR-431-3p	mir-431
miR-433-5p	mir-433
miR-433-3p	mir-433
miR-329-5p	mir-329-1,mir-329-2
miR-329-3p	mir-329-1,mir-329-2
miR-452-5p	mir-452
miR-452-3p	mir-452
miR-409-5p	mir-409
miR-409-3p	mir-409
miR-412-5p	mir-412
miR-412-3p	mir-412
miR-410-5p	mir-410
miR-410-3p	mir-410
miR-376b-5p	mir-376b
miR-376b-3p	mir-376b
miR-483-5p	mir-483
miR-483-3p	mir-483
miR-485-5p	mir-485
miR-485-3p	mir-485
miR-486-5p	mir-486-2,mir-486-1
miR-486-3p	mir-486-2,mir-486-1
miR-487a-5p	mir-487a
miR-487a-3p	mir-487a
miR-488-5p	mir-488
miR-488-3p	mir-488
miR-489-5p	mir-489
miR-489-3p	mir-489
miR-490-5p	mir-490
miR-490-3p	mir-490
miR-491-5p	mir-491
miR-491-3p	mir-491
miR-511-5p	mir-511
miR-511-3p	mir-511
miR-146b-5p	mir-146b
miR-146b-3p	mir-146b
miR-202-5p	mir-202
miR-202-3p	mir-202
miR-493-5p	mir-493
miR-493-3p	mir-493
miR-432-5p	mir-432
miR-432-3p	mir-432
miR-494-5p	mir-494
miR-494-3p	mir-494
miR-495-5p	mir-495
miR-495-3p	mir-495
miR-193b-5p	mir-193b
miR-193b-3p	mir-193b
miR-497-5p	mir-497
miR-497-3p	mir-497
miR-181d-5p	mir-181d
miR-181d-3p	mir-181d
miR-512-5p	mir-512-2,mir-512-1
miR-512-3p	mir-512-2,mir-512-1
miR-498-5p	mir-498
miR-498-3p	mir-498
miR-520e-5p	mir-520e
miR-520e-3p	mir-520e
miR-515-5p	mir-515-1,mir-515-2
miR-515-3p	mir-515-1,mir-515-2
miR-519e-5p	mir-519e
miR-519e-3p	mir-519e
miR-520f-5p	mir-520f
miR-520f-3p	mir-520f
miR-519c-5p	mir-519c
miR-519c-3p	mir-519c
miR-520a-5p	mir-520a
miR-520a-3p	mir-520a
miR-526b-5p	mir-526b
miR-526b-3p	mir-526b
miR-519b-5p	mir-519b
miR-519b-3p	mir-519b
miR-525-5p	mir-525
miR-525-3p	mir-525
miR-523-5p	mir-523
miR-523-3p	mir-523
miR-518f-5p	mir-518f
miR-518f-3p	mir-518f
miR-520b-5p	mir-520b
